guid,title,pubDate,description,link,media
b'https://www.hindustantimes.com/india-news/indian-man-jailed-for-inappropriately-touching-woman-at-singapore-church/story-1feIwpxEywncOut7y61xWP.html',b'Indian man jailed for inappropriately touching woman at Singapore church',"b'Wed, 04 Sep 2019 03:22:11 GMT '","b'Rajendran Prakash was drunk when he entered the Church of Our Lady Lourdes at about 1 pm on September 29 last year and touched and embraced the woman there, Channel News Asia reported.'",b'https://www.hindustantimes.com/india-news/indian-man-jailed-for-inappropriately-touching-woman-at-singapore-church/story-1feIwpxEywncOut7y61xWP.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/09/04/Pictures/108269216_e10c5256-cebe-11e9-831a-a34a52409c0f.jpeg
b'https://www.hindustantimes.com/india-news/why-the-2019-slowdown-is-different-from-2012-13/story-XuRgL94L1g82EaLGqasmAJ.html',b'Why the 2019 economic slowdown is different from 2012-13 |&thinsp;Analysis',"b'Wed, 04 Sep 2019 03:15:27 GMT '",b'There is a crucial difference between then and now. Inflation was very high during the earlier slowdown compared to what it is now.',b'https://www.hindustantimes.com/india-news/why-the-2019-slowdown-is-different-from-2012-13/story-XuRgL94L1g82EaLGqasmAJ.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/09/04/Pictures/_8fb26e9a-ce87-11e9-831a-a34a52409c0f.jpg
b'https://www.hindustantimes.com/india-news/chandrayaan-2-lander-vikram-completes-final-de-orbital-operations-set-to-land-on-the-moon/story-y9A0nL8ANTimEeBZgKB1SN.html',"b'Chandrayaan 2 completes final de-orbital operations, all set for moon landing'","b'Wed, 04 Sep 2019 03:07:14 GMT '","b'Chandrayaan 2: According to the Indian space agency ISRO, Vikaram\xe2\x80\x99s second de-orbital operations began at 3.42 am using the on-board propulsion system and was completed in nine seconds.'",b'https://www.hindustantimes.com/india-news/chandrayaan-2-lander-vikram-completes-final-de-orbital-operations-set-to-land-on-the-moon/story-y9A0nL8ANTimEeBZgKB1SN.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/09/04/Pictures/chandrayaan-carrying-geosynchronous-satellite-sriharikota-vehicle-blasts_18cc4998-ceb1-11e9-a264-bc92e50e5c68.jpg
b'https://www.hindustantimes.com/cricket/india-vs-west-indies-hits-and-flops-kl-rahul-cheteshwar-pujara-struggle-hanuma-vihari-jasprit-bumrah-on-top/story-vcmidmCCpcqIjLojHI4DoK.html',"b""India vs West Indies: Who flew, who flopped? Dissecting Team India's performance...""","b'Wed, 04 Sep 2019 03:02:29 GMT '","b'Despite all the good, there remain a few areas of concerns. Here is a look at hits and flops of India from the 2nd Test against West Indies.'",b'https://www.hindustantimes.com/cricket/india-vs-west-indies-hits-and-flops-kl-rahul-cheteshwar-pujara-struggle-hanuma-vihari-jasprit-bumrah-on-top/story-vcmidmCCpcqIjLojHI4DoK.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/09/04/Pictures/jamaica-india-west-indies-cricket_16779026-cec0-11e9-831a-a34a52409c0f.jpg
b'https://www.hindustantimes.com/india-news/kartarpur-corridor-in-next-meet-with-pak-india-plans-to-close-gaps-in-draft-agreement/story-qDiH5nYma4rSNLSUzPsuRJ.html',"b'Kartarpur corridor meeting with Pakistan today, India plans to close gaps in pa...'","b'Wed, 04 Sep 2019 01:51:46 GMT '",b'The meeting will also review the progress made in building infrastructure related to the corridor and decisions made at a meeting of technical experts at the zero point on the international border on August 30.',b'https://www.hindustantimes.com/india-news/kartarpur-corridor-in-next-meet-with-pak-india-plans-to-close-gaps-in-draft-agreement/story-qDiH5nYma4rSNLSUzPsuRJ.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/09/04/Pictures/hindustan-district-26august-kartarpur-corridor-gurdaspur-construction_e4243462-ceb5-11e9-8e3f-6f5f9fecffe4.jpg
b'https://www.hindustantimes.com/india-news/dk-shivakumar-continues-to-divide-popular-opinion-in-karnataka-congress/story-ydDC7ebMfVu7ivokF1e4CI.html',b'DK Shivakumar continues to divide popular opinion in Karnataka Congress',"b'Wed, 04 Sep 2019 01:50:56 GMT '","b'Both politically and financially, Shivakumar\xe2\x80\x99s career has followed an upward trajectory since his first win in the Sathanur Assembly constituency in 1989. He has won all subsequent elections, shifting to the Kanakapura seat in 2008 after his former constituency seized to exist as the result of a delimitation exercise. '",b'https://www.hindustantimes.com/india-news/dk-shivakumar-continues-to-divide-popular-opinion-in-karnataka-congress/story-ydDC7ebMfVu7ivokF1e4CI.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/09/03/Pictures/dk-shivakumar-arrested-in-delhi_ef45e2d0-ce6c-11e9-8e3f-6f5f9fecffe4.jpg
b'https://www.hindustantimes.com/india-news/prime-minister-narendra-modi-arrives-in-vladivostok-for-3-day-russia-visit/story-WL5qfBJ9lHudsarDIjr5sL.html',b'PM Narendra Modi in Russia for his 3rd bilateral visit',"b'Wed, 04 Sep 2019 01:27:49 GMT '",b'Prime Minister Narendra Modi arrived in Vladivostok on Wednesday for his two-day Russia visit. ',b'https://www.hindustantimes.com/india-news/prime-minister-narendra-modi-arrives-in-vladivostok-for-3-day-russia-visit/story-WL5qfBJ9lHudsarDIjr5sL.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/09/04/Pictures/_d0848224-cea4-11e9-8e3f-6f5f9fecffe4.jpg
b'https://www.hindustantimes.com/india-news/indian-delegation-thwarts-pakistan-attempt-to-raise-kashmir-issue-at-unicef-meet-in-sri-lanka/story-oyanxp4PBSDobwCUKTZqmO.html',b'Indian delegation thwarts Pakistan attempt to raise Kashmir issue at UNICEF meet...',"b'Wed, 04 Sep 2019 12:34:16 GMT '","b'On Tuesday, the Pakistani delegates tried to rake up rights issues in Kashmir at the UNICEF South Asian Parliamentarian Conference on Children Rights Convention in Colombo, evoking a sharp reaction from the Indian side, with Congress MP Gaurav Gogoi slamming the neighbouring country\xe2\x80\x99s record on rights issues of minorities.'",b'https://www.hindustantimes.com/india-news/indian-delegation-thwarts-pakistan-attempt-to-raise-kashmir-issue-at-unicef-meet-in-sri-lanka/story-oyanxp4PBSDobwCUKTZqmO.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/09/04/Pictures/vehicles-ply-after-the-ease-srinagar-restriction_12ef8e36-ce84-11e9-8e3f-6f5f9fecffe4.jpg
b'https://www.hindustantimes.com/columns/the-other-leadership-crisis-in-the-congress/story-cv2WuNPS7bbPzacwgIChZO.html',b'The other leadership crisis in the Congress |Opinion',"b'Sat, 31 Aug 2019 04:26:47 GMT '","b'The paradox is that despite its diminished numbers, the Congress has at least two Lok Sabha Members of Parliament who, if given a chance, could command attention, win respect and, perhaps, create a rallying point for the party. They are Shashi Tharoor and Manish Tewari'",b'https://www.hindustantimes.com/columns/the-other-leadership-crisis-in-the-congress/story-cv2WuNPS7bbPzacwgIChZO.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/08/31/Pictures/seen-view-delhi-the-indian-parliament-building_0bb525ec-cc0c-11e9-b728-1326979780a6.jpg
b'https://www.hindustantimes.com/real-estate/on-the-go-how-people-are-choosing-to-live-on-rent-for-life/story-WsWyspIde4h4X6XuemHC8M.html',b'On the go:&thinsp;How people are choosing to live on rent for life',"b'Sat, 31 Aug 2019 03:52:42 GMT '","b'Experts say that it can be a feasible alternative to loans and EMI, if you plan your finances right.'",b'https://www.hindustantimes.com/real-estate/on-the-go-how-people-are-choosing-to-live-on-rent-for-life/story-WsWyspIde4h4X6XuemHC8M.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/08/31/Pictures/istock-990636436-converted_80f830f2-cc06-11e9-80e5-a7e5951f3eba.jpg
b'https://www.hindustantimes.com/columns/shashi-tharoor-s-word-of-the-week-zealot/story-nxYYF07GEVdvkD5usSRKiI.html',"b""Shashi Tharoor's Word of the Week: Zealot""","b'Sat, 31 Aug 2019 02:04:37 GMT '","b'Belief that closes your eyes and your mind is not belief, it\xe2\x80\x99s zeal'",b'https://www.hindustantimes.com/columns/shashi-tharoor-s-word-of-the-week-zealot/story-nxYYF07GEVdvkD5usSRKiI.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/08/31/Pictures/_fb35f476-cbe3-11e9-80e5-a7e5951f3eba.png
b'https://www.hindustantimes.com/columns/the-population-debate-involve-men-in-care-and-planning/story-SgL3w5Ev3eN96YfA6AH4cI.html',b'The population debate: Involve men in care and planning',"b'Sat, 31 Aug 2019 02:03:28 GMT '","b'Family planning which focuses only on women, and executed largely by women workers, will not yield the appropriate results. Male workers can convince men of the need for institutional deliveries and inform husbands of the need to be involved in child care'",b'https://www.hindustantimes.com/columns/the-population-debate-involve-men-in-care-and-planning/story-SgL3w5Ev3eN96YfA6AH4cI.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/08/31/Pictures/_30258150-cbf4-11e9-b728-1326979780a6.jpg
b'https://www.hindustantimes.com/fitness/mental-fitness-as-important-as-physical-says-salim-merchant/story-v5aqMZQtR9ol4rI0ORPgzK.html',"b'Mental fitness as important as physical, says Salim Merchant'","b'Sat, 31 Aug 2019 11:34:14 GMT '","b'The singer and music composer says he believes in moderation, and dieting has no room in his life.'",b'https://www.hindustantimes.com/fitness/mental-fitness-as-important-as-physical-says-salim-merchant/story-v5aqMZQtR9ol4rI0ORPgzK.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/08/31/Pictures/hindustan-delhi-india-shoot-composer-salim-profile_2d085dd2-cbe3-11e9-b728-1326979780a6.JPG
b'https://www.hindustantimes.com/more-lifestyle/a-dash-of-chilli-a-hint-of-cacao-craft-beer-gets-a-makeover/story-JQT9UJhSE5Elj38IMp4n4I.html',"b'A dash of chilli, a hint of cacao: Craft beer gets a makeover'","b'Sat, 31 Aug 2019 11:05:43 GMT '","b'Microbreweries are catering to a young, experimental market with flavours like guava and lime, kokum and pepper. '",b'https://www.hindustantimes.com/more-lifestyle/a-dash-of-chilli-a-hint-of-cacao-craft-beer-gets-a-makeover/story-JQT9UJhSE5Elj38IMp4n4I.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/08/31/Pictures/_661fb7d2-cbde-11e9-b728-1326979780a6.jpg
b'https://www.hindustantimes.com/education/as-students-push-for-more-freedom-and-equality-college-hostels-are-changing/story-u6j2TRkj8b3M0otz82gKTL.html',"b'As students push for more freedom&thinsp;and equality, college hostels are changing'","b'Wed, 28 Aug 2019 02:03:02 GMT '","b'Among the top demands are more-relaxed curfew hours and dress codes, and equal norms for male and female students.'",b'https://www.hindustantimes.com/education/as-students-push-for-more-freedom-and-equality-college-hostels-are-changing/story-u6j2TRkj8b3M0otz82gKTL.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/08/28/Pictures/_6cfb8bae-c97b-11e9-80e5-a7e5951f3eba.jpg
